ds,downstream,upstream
2026-02-15 11:27:53.441282,966.0,243.9
2026-02-15 11:42:53.441282,900.88,224.88
2026-02-15 11:57:53.441282,894.12,225.08
2026-02-15 12:12:53.441282,919.17,227.62
2026-02-15 12:27:53.441282,878.76,210.98
2026-02-15 12:42:53.441282,914.13,224.3
2026-02-15 12:57:53.441282,858.41,212.81
2026-02-15 13:12:53.441282,840.86,208.38
2026-02-15 13:27:53.441282,862.85,214.6
2026-02-15 13:42:53.441282,890.35,215.16
2026-02-15 13:57:53.441282,872.77,222.02
2026-02-15 14:12:53.441282,819.19,200.25
2026-02-15 14:27:53.441282,840.25,204.96
2026-02-15 14:42:53.441282,771.09,186.74
2026-02-15 14:57:53.441282,835.59,205.75
2026-02-15 15:12:53.441282,733.3,173.65
2026-02-15 15:27:53.441282,751.26,189.65
2026-02-15 15:42:53.441282,705.71,169.68
2026-02-15 15:57:53.441282,761.48,186.73
2026-02-15 16:12:53.441282,649.29,164.47
2026-02-15 16:27:53.441282,603.02,144.64
2026-02-15 16:42:53.441282,595.78,160.27
2026-02-15 16:57:53.441282,641.81,160.66
2026-02-15 17:12:53.441282,512.45,125.22
2026-02-15 17:27:53.441282,521.65,132.46
2026-02-15 17:42:53.441282,553.27,131.22
2026-02-15 17:57:53.441282,535.24,139.17
2026-02-15 18:12:53.441282,404.19,98.85
2026-02-15 18:27:53.441282,397.09,102.57
2026-02-15 18:42:53.441282,392.7,97.52
2026-02-15 18:57:53.441282,424.89,105.97
2026-02-15 19:12:53.441282,542.09,137.64
2026-02-15 19:27:53.441282,506.12,119.59
2026-02-15 19:42:53.441282,552.48,144.66
2026-02-15 19:57:53.441282,571.11,138.64
2026-02-15 20:12:53.441282,644.88,168.85
2026-02-15 20:27:53.441282,658.3,161.14
2026-02-15 20:42:53.441282,666.13,173.33
2026-02-15 20:57:53.441282,690.87,176.67
2026-02-15 21:12:53.441282,785.14,197.56
2026-02-15 21:27:53.441282,743.92,183.86
2026-02-15 21:42:53.441282,739.82,189.49
2026-02-15 21:57:53.441282,740.82,187.4
2026-02-15 22:12:53.441282,826.86,202.27
2026-02-15 22:27:53.441282,816.37,204.4
2026-02-15 22:42:53.441282,815.73,199.94
2026-02-15 22:57:53.441282,826.26,206.74
2026-02-15 23:12:53.441282,848.28,208.74
2026-02-15 23:27:53.441282,843.69,212.11
2026-02-15 23:42:53.441282,890.89,228.74
2026-02-15 23:57:53.441282,876.21,219.21
2026-02-16 00:12:53.441282,952.32,226.94
2026-02-16 00:27:53.441282,885.36,220.11
2026-02-16 00:42:53.441282,896.1,218.41
2026-02-16 00:57:53.441282,940.82,240.02
2026-02-16 01:12:53.441282,915.33,231.72
2026-02-16 01:27:53.441282,869.22,226.14
2026-02-16 01:42:53.441282,896.89,227.17
2026-02-16 01:57:53.441282,921.91,234.52
2026-02-16 02:12:53.441282,885.83,227.42
2026-02-16 02:27:53.441282,824.56,203.87
2026-02-16 02:42:53.441282,789.71,195.71
2026-02-16 02:57:53.441282,868.58,221.12
2026-02-16 03:12:53.441282,731.04,179.37
2026-02-16 03:27:53.441282,751.3,189.01
2026-02-16 03:42:53.441282,770.25,196.19
2026-02-16 03:57:53.441282,763.26,186.72
2026-02-16 04:12:53.441282,665.21,163.75
2026-02-16 04:27:53.441282,627.03,155.26
2026-02-16 04:42:53.441282,648.39,169.06
2026-02-16 04:57:53.441282,658.83,161.79
2026-02-16 05:12:53.441282,525.25,134.3
2026-02-16 05:27:53.441282,522.21,127.42
2026-02-16 05:42:53.441282,497.77,129.47
2026-02-16 05:57:53.441282,541.89,145.04
2026-02-16 06:12:53.441282,407.89,100.68
2026-02-16 06:27:53.441282,435.23,100.42
2026-02-16 06:42:53.441282,346.09,85.35
2026-02-16 06:57:53.441282,431.6,102.68
2026-02-16 07:12:53.441282,547.39,143.28
2026-02-16 07:27:53.441282,564.61,144.85
2026-02-16 07:42:53.441282,525.94,131.48
2026-02-16 07:57:53.441282,502.5,124.2
2026-02-16 08:12:53.441282,706.56,182.78
2026-02-16 08:27:53.441282,651.25,167.18
2026-02-16 08:42:53.441282,610.55,158.33
2026-02-16 08:57:53.441282,647.92,159.04
2026-02-16 09:12:53.441282,731.56,187.05
2026-02-16 09:27:53.441282,739.98,189.74
2026-02-16 09:42:53.441282,769.69,195.34
2026-02-16 09:57:53.441282,761.81,188.51
2026-02-16 10:12:53.441282,841.61,208.9
2026-02-16 10:27:53.441282,840.14,205.52
2026-02-16 10:42:53.441282,825.69,214.23
2026-02-16 10:57:53.441282,843.34,213.33
2026-02-16 11:12:53.441282,859.44,215.25
2026-02-16 11:27:53.441282,890.26,232.35
2026-02-16 11:42:53.441282,902.11,223.04
2026-02-16 11:57:53.441282,851.62,213.21
2026-02-16 12:12:53.441282,880.97,223.32
2026-02-16 12:27:53.441282,888.7,223.02
2026-02-16 12:42:53.441282,869.4,214.99
2026-02-16 12:57:53.441282,958.8,231.73
2026-02-16 13:12:53.441282,843.05,202.37
2026-02-16 13:27:53.441282,848.9,220.22
2026-02-16 13:42:53.441282,835.92,204.55
2026-02-16 13:57:53.441282,901.41,228.15
2026-02-16 14:12:53.441282,796.14,191.72
2026-02-16 14:27:53.441282,868.44,208.09
2026-02-16 14:42:53.441282,848.14,213.33
2026-02-16 14:57:53.441282,842.55,212.88
2026-02-16 15:12:53.441282,760.74,197.11
2026-02-16 15:27:53.441282,728.17,174.14
2026-02-16 15:42:53.441282,733.51,177.97
2026-02-16 15:57:53.441282,760.26,194.91
2026-02-16 16:12:53.441282,650.49,155.44
2026-02-16 16:27:53.441282,663.71,162.26
2026-02-16 16:42:53.441282,667.74,173.13
2026-02-16 16:57:53.441282,683.7,170.7
2026-02-16 17:12:53.441282,504.81,128.69
2026-02-16 17:27:53.441282,566.06,132.79
2026-02-16 17:42:53.441282,489.78,117.45
2026-02-16 17:57:53.441282,540.78,137.89
2026-02-16 18:12:53.441282,372.44,94.92
2026-02-16 18:27:53.441282,361.22,84.37
2026-02-16 18:42:53.441282,390.71,98.73
2026-02-16 18:57:53.441282,387.64,96.8
2026-02-16 19:12:53.441282,521.17,129.07
2026-02-16 19:27:53.441282,481.14,125.38
2026-02-16 19:42:53.441282,522.37,128.33
2026-02-16 19:57:53.441282,548.46,140.69
2026-02-16 20:12:53.441282,678.12,172.47
2026-02-16 20:27:53.441282,669.02,168.3
2026-02-16 20:42:53.441282,722.3,177.71
2026-02-16 20:57:53.441282,690.37,166.95
2026-02-16 21:12:53.441282,756.73,189.48
2026-02-16 21:27:53.441282,746.61,178.15
2026-02-16 21:42:53.441282,781.27,196.86
2026-02-16 21:57:53.441282,797.23,193.63
2026-02-16 22:12:53.441282,850.42,217.68
2026-02-16 22:27:53.441282,859.36,212.47
2026-02-16 22:42:53.441282,816.53,214.61
2026-02-16 22:57:53.441282,844.83,208.8
2026-02-16 23:12:53.441282,878.27,218.43
2026-02-16 23:27:53.441282,886.06,227.64
2026-02-16 23:42:53.441282,885.73,220.15
2026-02-16 23:57:53.441282,854.34,211.31
2026-02-17 00:12:53.441282,911.69,225.84
2026-02-17 00:27:53.441282,930.0,226.77
2026-02-17 00:42:53.441282,888.95,211.41
2026-02-17 00:57:53.441282,946.46,230.85
2026-02-17 01:12:53.441282,881.0,216.16
2026-02-17 01:27:53.441282,862.86,212.92
2026-02-17 01:42:53.441282,940.42,235.64
2026-02-17 01:57:53.441282,883.34,222.98
2026-02-17 02:12:53.441282,853.84,216.03
2026-02-17 02:27:53.441282,833.81,205.74
2026-02-17 02:42:53.441282,816.94,201.9
2026-02-17 02:57:53.441282,851.84,210.8
2026-02-17 03:12:53.441282,693.64,174.45
2026-02-17 03:27:53.441282,764.38,186.27
2026-02-17 03:42:53.441282,742.16,180.54
2026-02-17 03:57:53.441282,795.87,195.11
2026-02-17 04:12:53.441282,594.84,151.91
2026-02-17 04:27:53.441282,695.12,178.26
2026-02-17 04:42:53.441282,676.81,169.05
2026-02-17 04:57:53.441282,649.13,158.86
2026-02-17 05:12:53.441282,556.34,136.43
2026-02-17 05:27:53.441282,548.95,135.15
2026-02-17 05:42:53.441282,508.9,132.0
2026-02-17 05:57:53.441282,490.82,120.24
2026-02-17 06:12:53.441282,379.08,104.01
2026-02-17 06:27:53.441282,398.48,105.17
2026-02-17 06:42:53.441282,400.65,97.34
2026-02-17 06:57:53.441282,453.58,116.06
2026-02-17 07:12:53.441282,523.73,128.53
2026-02-17 07:27:53.441282,488.4,122.37
2026-02-17 07:42:53.441282,545.69,134.99
2026-02-17 07:57:53.441282,537.32,134.99
2026-02-17 08:12:53.441282,662.71,173.92
2026-02-17 08:27:53.441282,675.07,160.28
2026-02-17 08:42:53.441282,664.01,167.91
2026-02-17 08:57:53.441282,687.04,166.49
2026-02-17 09:12:53.441282,758.23,179.52
2026-02-17 09:27:53.441282,748.99,178.77
2026-02-17 09:42:53.441282,762.7,195.8
2026-02-17 09:57:53.441282,781.67,190.07
2026-02-17 10:12:53.441282,830.95,209.54
2026-02-17 10:27:53.441282,858.87,217.24
2026-02-17 10:42:53.441282,848.07,206.91
2026-02-17 10:57:53.441282,812.53,200.66
2026-02-17 11:12:53.441282,834.33,200.11
2026-02-17 11:27:53.441282,878.15,215.05
2026-02-17 11:42:53.441282,904.31,234.12
2026-02-17 11:57:53.441282,860.01,219.09
2026-02-17 12:12:53.441282,895.52,222.76
2026-02-17 12:27:53.441282,909.42,229.58
2026-02-17 12:42:53.441282,868.67,214.86
2026-02-17 12:57:53.441282,943.09,234.42
2026-02-17 13:12:53.441282,918.54,235.17
2026-02-17 13:27:53.441282,876.77,215.07
2026-02-17 13:42:53.441282,898.99,217.8
2026-02-17 13:57:53.441282,835.93,204.94
2026-02-17 14:12:53.441282,811.35,202.06
2026-02-17 14:27:53.441282,847.25,217.41
2026-02-17 14:42:53.441282,830.98,208.99
2026-02-17 14:57:53.441282,833.95,208.91
2026-02-17 15:12:53.441282,768.04,195.13
2026-02-17 15:27:53.441282,780.07,196.63
2026-02-17 15:42:53.441282,751.24,193.26
2026-02-17 15:57:53.441282,715.09,178.8
2026-02-17 16:12:53.441282,604.5,158.25
2026-02-17 16:27:53.441282,662.66,164.93
2026-02-17 16:42:53.441282,697.41,179.41
2026-02-17 16:57:53.441282,629.27,159.95
2026-02-17 17:12:53.441282,504.98,124.39
2026-02-17 17:27:53.441282,562.05,134.64
2026-02-17 17:42:53.441282,569.52,137.56
2026-02-17 17:57:53.441282,589.64,140.99
2026-02-17 18:12:53.441282,409.75,101.95
2026-02-17 18:27:53.441282,411.77,107.93
2026-02-17 18:42:53.441282,466.68,113.71
2026-02-17 18:57:53.441282,363.9,92.43
2026-02-17 19:12:53.441282,491.66,116.93
2026-02-17 19:27:53.441282,501.8,117.78
2026-02-17 19:42:53.441282,521.17,127.45
2026-02-17 19:57:53.441282,487.74,120.02
2026-02-17 20:12:53.441282,647.78,171.24
2026-02-17 20:27:53.441282,653.49,161.69
2026-02-17 20:42:53.441282,651.54,163.54
2026-02-17 20:57:53.441282,681.32,169.58
2026-02-17 21:12:53.441282,748.32,185.04
2026-02-17 21:27:53.441282,800.73,198.54
2026-02-17 21:42:53.441282,816.47,205.62
2026-02-17 21:57:53.441282,741.93,187.12
2026-02-17 22:12:53.441282,862.58,211.36
2026-02-17 22:27:53.441282,846.47,212.52
2026-02-17 22:42:53.441282,858.61,221.67
2026-02-17 22:57:53.441282,878.38,225.61
2026-02-17 23:12:53.441282,867.93,216.85
2026-02-17 23:27:53.441282,876.11,212.8
2026-02-17 23:42:53.441282,855.39,217.93
2026-02-17 23:57:53.441282,922.43,231.01
2026-02-18 00:12:53.441282,868.63,224.74
2026-02-18 00:27:53.441282,849.9,211.66
2026-02-18 00:42:53.441282,878.82,221.43
2026-02-18 00:57:53.441282,906.07,232.14
2026-02-18 01:12:53.441282,854.82,213.86
2026-02-18 01:27:53.441282,882.78,221.26
2026-02-18 01:42:53.441282,860.4,212.4
2026-02-18 01:57:53.441282,915.4,229.12
2026-02-18 02:12:53.441282,832.37,205.44
2026-02-18 02:27:53.441282,846.6,212.68
2026-02-18 02:42:53.441282,838.31,203.38
2026-02-18 02:57:53.441282,774.91,184.56
2026-02-18 03:12:53.441282,724.16,182.38
2026-02-18 03:27:53.441282,737.3,176.6
2026-02-18 03:42:53.441282,796.1,200.55
2026-02-18 03:57:53.441282,790.85,186.56
2026-02-18 04:12:53.441282,665.79,165.91
2026-02-18 04:27:53.441282,646.16,163.09
2026-02-18 04:42:53.441282,669.46,160.93
2026-02-18 04:57:53.441282,626.18,158.09
2026-02-18 05:12:53.441282,541.52,132.51
2026-02-18 05:27:53.441282,544.29,136.32
2026-02-18 05:42:53.441282,506.26,125.03
2026-02-18 05:57:53.441282,513.39,137.47
2026-02-18 06:12:53.441282,386.71,94.03
2026-02-18 06:27:53.441282,401.22,96.5
2026-02-18 06:42:53.441282,364.13,97.52
2026-02-18 06:57:53.441282,369.07,91.52
2026-02-18 07:12:53.441282,551.91,139.47
2026-02-18 07:27:53.441282,500.55,134.7
2026-02-18 07:42:53.441282,583.34,145.62
2026-02-18 07:57:53.441282,604.81,161.86
2026-02-18 08:12:53.441282,600.47,140.08
2026-02-18 08:27:53.441282,598.42,144.65
2026-02-18 08:42:53.441282,653.36,166.45
2026-02-18 08:57:53.441282,639.93,161.25
2026-02-18 09:12:53.441282,765.64,191.87
2026-02-18 09:27:53.441282,732.54,181.83
2026-02-18 09:42:53.441282,771.23,198.02
2026-02-18 09:57:53.441282,729.9,185.5
2026-02-18 10:12:53.441282,815.44,200.35
2026-02-18 10:27:53.441282,849.22,219.19
2026-02-18 10:42:53.441282,845.81,208.6
2026-02-18 10:57:53.441282,807.0,206.38
2026-02-18 11:12:53.441282,830.8,202.66
2026-02-18 11:27:53.441282,896.86,228.05
2026-02-18 11:42:53.441282,844.96,217.13
2026-02-18 11:57:53.441282,887.36,231.28
2026-02-18 12:12:53.441282,889.35,218.5
2026-02-18 12:27:53.441282,926.2,236.29
2026-02-18 12:42:53.441282,914.89,223.64
2026-02-18 12:57:53.441282,858.42,205.62
2026-02-18 13:12:53.441282,880.87,220.41
2026-02-18 13:27:53.441282,858.14,213.09
2026-02-18 13:42:53.441282,912.35,233.19
2026-02-18 13:57:53.441282,818.31,207.26
2026-02-18 14:12:53.441282,865.75,216.16
2026-02-18 14:27:53.441282,799.75,195.8
2026-02-18 14:42:53.441282,885.41,218.81
2026-02-18 14:57:53.441282,823.22,203.6
2026-02-18 15:12:53.441282,770.8,189.8
2026-02-18 15:27:53.441282,731.41,187.15
2026-02-18 15:42:53.441282,770.36,194.4
2026-02-18 15:57:53.441282,701.38,175.19
2026-02-18 16:12:53.441282,689.78,173.53
2026-02-18 16:27:53.441282,635.5,155.98
2026-02-18 16:42:53.441282,696.47,182.95
2026-02-18 16:57:53.441282,681.81,161.78
2026-02-18 17:12:53.441282,514.93,132.89
2026-02-18 17:27:53.441282,555.31,136.94
2026-02-18 17:42:53.441282,535.87,138.33
2026-02-18 17:57:53.441282,514.92,123.43
2026-02-18 18:12:53.441282,413.7,98.22
2026-02-18 18:27:53.441282,399.36,95.44
2026-02-18 18:42:53.441282,395.89,102.23
2026-02-18 18:57:53.441282,390.04,102.71
2026-02-18 19:12:53.441282,508.64,121.04
2026-02-18 19:27:53.441282,537.79,138.83
2026-02-18 19:42:53.441282,548.01,142.51
2026-02-18 19:57:53.441282,534.77,138.99
2026-02-18 20:12:53.441282,677.95,173.34
2026-02-18 20:27:53.441282,570.91,143.25
2026-02-18 20:42:53.441282,659.36,155.73
2026-02-18 20:57:53.441282,683.59,165.48
2026-02-18 21:12:53.441282,778.32,188.51
2026-02-18 21:27:53.441282,745.87,183.72
2026-02-18 21:42:53.441282,707.95,180.34
2026-02-18 21:57:53.441282,734.91,182.28
2026-02-18 22:12:53.441282,836.08,210.09
2026-02-18 22:27:53.441282,847.67,213.86
2026-02-18 22:42:53.441282,814.47,202.83
2026-02-18 22:57:53.441282,823.75,207.95
2026-02-18 23:12:53.441282,939.6,233.72
2026-02-18 23:27:53.441282,889.6,217.23
2026-02-18 23:42:53.441282,866.67,211.51
2026-02-18 23:57:53.441282,887.38,221.29
2026-02-19 00:12:53.441282,935.22,234.93
2026-02-19 00:27:53.441282,898.64,227.02
2026-02-19 00:42:53.441282,925.6,229.41
2026-02-19 00:57:53.441282,878.37,220.52
2026-02-19 01:12:53.441282,900.9,230.32
2026-02-19 01:27:53.441282,899.43,231.81
2026-02-19 01:42:53.441282,834.3,213.45
2026-02-19 01:57:53.441282,871.01,220.86
2026-02-19 02:12:53.441282,795.06,199.7
2026-02-19 02:27:53.441282,842.83,211.61
2026-02-19 02:42:53.441282,813.35,203.65
2026-02-19 02:57:53.441282,777.03,200.8
2026-02-19 03:12:53.441282,737.37,186.65
2026-02-19 03:27:53.441282,772.34,197.08
2026-02-19 03:42:53.441282,800.1,204.69
2026-02-19 03:57:53.441282,806.85,192.08
2026-02-19 04:12:53.441282,635.95,158.7
2026-02-19 04:27:53.441282,696.6,173.97
2026-02-19 04:42:53.441282,636.96,166.55
2026-02-19 04:57:53.441282,623.59,148.18
2026-02-19 05:12:53.441282,531.67,134.98
2026-02-19 05:27:53.441282,523.87,138.81
2026-02-19 05:42:53.441282,524.16,132.88
2026-02-19 05:57:53.441282,518.66,126.69
2026-02-19 06:12:53.441282,341.49,93.53
2026-02-19 06:27:53.441282,384.01,109.44
2026-02-19 06:42:53.441282,401.02,107.04
2026-02-19 06:57:53.441282,451.21,111.89
2026-02-19 07:12:53.441282,548.19,136.22
2026-02-19 07:27:53.441282,540.37,144.66
2026-02-19 07:42:53.441282,467.69,123.89
2026-02-19 07:57:53.441282,513.08,133.08
2026-02-19 08:12:53.441282,627.06,152.81
2026-02-19 08:27:53.441282,704.4,172.3
2026-02-19 08:42:53.441282,628.61,151.52
2026-02-19 08:57:53.441282,660.81,176.6
2026-02-19 09:12:53.441282,749.87,188.59
2026-02-19 09:27:53.441282,780.11,196.68
2026-02-19 09:42:53.441282,761.6,188.2
2026-02-19 09:57:53.441282,768.55,191.21
2026-02-19 10:12:53.441282,812.86,205.2
2026-02-19 10:27:53.441282,839.19,206.7
2026-02-19 10:42:53.441282,797.95,194.32
2026-02-19 10:57:53.441282,791.99,188.84
2026-02-19 11:12:53.441282,858.35,213.18
2026-02-19 11:27:53.441282,837.72,213.9
2026-02-19 11:42:53.441282,864.5,214.59
2026-02-19 11:57:53.441282,865.68,219.6
2026-02-19 12:12:53.441282,882.95,225.16
2026-02-19 12:27:53.441282,919.08,226.95
2026-02-19 12:42:53.441282,845.29,203.01
2026-02-19 12:57:53.441282,988.83,251.68
2026-02-19 13:12:53.441282,908.34,228.15
2026-02-19 13:27:53.441282,878.42,227.45
2026-02-19 13:42:53.441282,858.1,225.3
2026-02-19 13:57:53.441282,914.42,230.36
2026-02-19 14:12:53.441282,860.74,220.82
2026-02-19 14:27:53.441282,849.5,213.57
2026-02-19 14:42:53.441282,847.64,208.32
2026-02-19 14:57:53.441282,756.07,196.69
2026-02-19 15:12:53.441282,751.72,186.82
2026-02-19 15:27:53.441282,733.71,184.24
2026-02-19 15:42:53.441282,760.93,183.02
2026-02-19 15:57:53.441282,771.04,193.58
2026-02-19 16:12:53.441282,601.13,153.57
2026-02-19 16:27:53.441282,629.08,153.36
2026-02-19 16:42:53.441282,603.42,154.53
2026-02-19 16:57:53.441282,639.01,158.7
2026-02-19 17:12:53.441282,524.75,125.54
2026-02-19 17:27:53.441282,496.98,120.69
2026-02-19 17:42:53.441282,547.54,134.74
2026-02-19 17:57:53.441282,520.73,135.04
2026-02-19 18:12:53.441282,415.24,105.24
2026-02-19 18:27:53.441282,406.86,95.64
2026-02-19 18:42:53.441282,409.07,100.94
2026-02-19 18:57:53.441282,429.55,102.52
2026-02-19 19:12:53.441282,586.4,144.7
2026-02-19 19:27:53.441282,532.56,139.13
2026-02-19 19:42:53.441282,593.74,144.35
2026-02-19 19:57:53.441282,523.32,130.48
2026-02-19 20:12:53.441282,695.93,182.53
2026-02-19 20:27:53.441282,694.94,181.01
2026-02-19 20:42:53.441282,670.41,172.93
2026-02-19 20:57:53.441282,674.7,169.64
2026-02-19 21:12:53.441282,758.37,191.41
2026-02-19 21:27:53.441282,758.06,187.71
2026-02-19 21:42:53.441282,797.89,201.29
2026-02-19 21:57:53.441282,747.77,191.24
2026-02-19 22:12:53.441282,828.23,204.35
2026-02-19 22:27:53.441282,828.74,207.73
2026-02-19 22:42:53.441282,820.25,206.42
2026-02-19 22:57:53.441282,846.9,214.33
2026-02-19 23:12:53.441282,882.31,229.45
2026-02-19 23:27:53.441282,912.88,233.5
2026-02-19 23:42:53.441282,874.99,224.96
2026-02-19 23:57:53.441282,912.56,227.98
2026-02-20 00:12:53.441282,947.07,242.24
2026-02-20 00:27:53.441282,917.97,228.67
2026-02-20 00:42:53.441282,877.76,221.05
2026-02-20 00:57:53.441282,943.54,239.91
2026-02-20 01:12:53.441282,908.52,226.7
2026-02-20 01:27:53.441282,858.01,213.96
2026-02-20 01:42:53.441282,943.66,234.82
2026-02-20 01:57:53.441282,882.36,220.04
2026-02-20 02:12:53.441282,849.48,210.89
2026-02-20 02:27:53.441282,850.36,217.12
2026-02-20 02:42:53.441282,870.98,216.2
2026-02-20 02:57:53.441282,827.54,202.78
2026-02-20 03:12:53.441282,806.58,197.65
2026-02-20 03:27:53.441282,733.24,186.97
2026-02-20 03:42:53.441282,803.18,206.75
2026-02-20 03:57:53.441282,736.41,191.6
2026-02-20 04:12:53.441282,616.97,148.53
2026-02-20 04:27:53.441282,666.5,171.23
2026-02-20 04:42:53.441282,644.26,164.14
2026-02-20 04:57:53.441282,669.94,167.73
2026-02-20 05:12:53.441282,562.93,148.89
2026-02-20 05:27:53.441282,525.38,119.23
2026-02-20 05:42:53.441282,578.21,153.25
2026-02-20 05:57:53.441282,550.61,133.15
2026-02-20 06:12:53.441282,396.27,93.07
2026-02-20 06:27:53.441282,408.32,110.34
2026-02-20 06:42:53.441282,425.54,103.71
2026-02-20 06:57:53.441282,393.05,94.26
2026-02-20 07:12:53.441282,511.61,131.7
2026-02-20 07:27:53.441282,534.09,138.4
2026-02-20 07:42:53.441282,521.36,136.1
2026-02-20 07:57:53.441282,519.49,139.29
2026-02-20 08:12:53.441282,648.81,160.95
2026-02-20 08:27:53.441282,651.8,161.1
2026-02-20 08:42:53.441282,619.1,156.79
2026-02-20 08:57:53.441282,658.87,162.73
2026-02-20 09:12:53.441282,731.11,178.94
2026-02-20 09:27:53.441282,787.38,193.97
2026-02-20 09:42:53.441282,677.1,174.22
2026-02-20 09:57:53.441282,768.94,198.09
2026-02-20 10:12:53.441282,843.16,201.43
2026-02-20 10:27:53.441282,868.23,215.84
2026-02-20 10:42:53.441282,824.03,211.51
2026-02-20 10:57:53.441282,861.23,217.79
2026-02-20 11:12:53.441282,933.91,237.59
2026-02-20 11:27:53.441282,931.89,237.13
2026-02-20 11:42:53.441282,932.0,232.41
2026-02-20 11:57:53.441282,837.79,194.4
2026-02-20 12:12:53.441282,930.43,241.26
2026-02-20 12:27:53.441282,924.62,242.19
2026-02-20 12:42:53.441282,882.11,211.15
2026-02-20 12:57:53.441282,927.2,233.15
2026-02-20 13:12:53.441282,896.95,228.19
2026-02-20 13:27:53.441282,887.95,216.48
2026-02-20 13:42:53.441282,877.84,222.43
2026-02-20 13:57:53.441282,888.8,226.81
2026-02-20 14:12:53.441282,834.94,200.9
